file,weapons,targets,BnA_time,BnA_obj,BnA_status,BnA_v2_time,BnA_v2_obj,BnA_v2_status
wta_50x100x1.txt,50,100,262.3968890000033,1734.302278167934,optimal,117.1531325999822,1734.302278167934,optimal
wta_50x100x2.txt,50,100,230.0534544999973,123.8384583301924,optimal,124.2630907999992,123.8384583301924,optimal
wta_50x100x3.txt,50,100,157.18205290000333,20.590016186212733,optimal,92.10836709997966,20.590016186212733,optimal
wta_100x200x1.txt,100,200,199.2691749000005,2862.302805332282,optimal,249.44725719999408,2862.302805332282,optimal
wta_100x200x2.txt,100,200,226.5523730999994,116.05743520283012,optimal,247.8627995999996,116.05743520283012,optimal
wta_100x200x3.txt,100,200,337.0066996000023,14.57913317306818,optimal,261.4789396999986,14.57913317306818,optimal
wta_150x300x1.txt,150,300,442.1090362999967,3740.654554438311,optimal,467.74260440000216,3740.41747714193,optimal
wta_150x300x2.txt,150,300,583.1551738999988,103.15103115578952,optimal,348.3329145999742,103.15103115578952,optimal
wta_150x300x3.txt,150,300,7462.626059299997,11.42872228976939,mem_limit,2666.0150087999937,11.42872228976939,optimal
wta_200x400x1.txt,200,400,3135.8213572000022,4970.363583041389,optimal,1803.0049238000065,4970.3976287557,optimal
wta_200x400x2.txt,200,400,2125.749598000002,115.44747277497494,optimal,613.663609100011,115.44747277497494,optimal
wta_200x400x3.txt,200,400,8135.9166138,10.57629085411518,time_limit,7468.835887599998,10.57629085411518,time_limit
wta_250x500x1.txt,250,500,7715.3865907,6689.831916854839,optimal,8350.150364000001,6690.196396274207,time_limit
wta_250x500x2.txt,250,500,2723.1144658999983,114.350685228619,optimal,3552.8325463999936,114.350685228619,optimal
wta_250x500x3.txt,250,500,8304.977767300006,10.96299760509553,time_limit,8352.215845400002,10.96691042177743,time_limit
wta_300x600x1.txt,300,600,6680.284350600006,8136.879466116941,mem_limit,8672.327333299996,8139.574178326981,time_limit
wta_300x600x2.txt,300,600,2176.0347337999992,118.543306923024,optimal,4318.324223100004,118.543306923024,optimal
wta_300x600x3.txt,300,600,6916.794257899994,13.104950068392748,mem_limit,8740.517179899995,13.095389172144348,time_limit
wta_350x700x1.txt,350,700,6222.663128300002,9050.095620850649,optimal,8910.581447400007,9110.66272150555,time_limit
wta_350x700x2.txt,350,700,4239.537588699997,120.98672461463254,optimal,8946.870072899997,121.18746260058936,time_limit
wta_350x700x3.txt,350,700,7583.646214499997,10.827658467883854,time_limit,8920.497764800006,10.833660646192532,time_limit
wta_400x800x1.txt,400,800,9355.3814787,11551.76732301577,time_limit,9175.28764960001,11577.84356215028,time_limit
wta_400x800x2.txt,400,800,10269.375446300008,129.27980092101026,time_limit,2861.749308999977,129.27980092101026,optimal
wta_400x800x3.txt,400,800,9291.507650500018,12.096441108812046,time_limit,7671.375121399993,11.971682976427475,time_limit
wta_450x900x1.txt,450,900,9275.564155600005,12534.8774024888,time_limit,7736.108148300031,12521.231092890484,time_limit
wta_450x900x2.txt,450,900,9330.793267200002,134.17182115141142,time_limit,3372.4615329999942,134.17182115141142,optimal
wta_450x900x3.txt,450,900,9300.726497099997,12.532392610350849,time_limit,3565.1389388000243,18.39198418137729,interrupted
wta_500x1000x1.txt,500,1000,2145.738024099992,13159.29492770428,mem_limit,9628.274437199989,13318.492560007531,time_limit
wta_500x1000x2.txt,500,1000,2060.5979123,157.1113253050327,mem_limit,9547.769692800008,138.73849075137164,time_limit
wta_500x1000x3.txt,500,1000,3736.760596399981,21.71375345166624,mem_limit,9534.476840100018,20.05322117732685,time_limit
